Sr no,Username,Userid,email,registered mobile no,Address,SmartIOT Device ID,Power (in watt),Maximum Current till date (in ampere),Voltage,Time,Date
1,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,001HALBUL000N,20,32,2,12:00,20-02-18
2,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,002HALTUB001E,30,10,3,12:01,20-02-18
3,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,001HALFAN002C,40,22,4,12:02,20-02-18
4,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,003KITFAN003C,50,34,1,12:03,20-02-18
5,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,004GPKTUB004C,10,56,2,12:04,20-02-18
6,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,002HALTUB005E,20,34,3,12:05,20-02-18
7,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,001HALFAN006C,30,23,4,12:06,20-02-18
8,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,004GPKFAN007C,40,23,5,12:07,20-02-18
9,Chetan,chetanid,chetan.gupta,7854612456,Room no.123,002HALTUB008E,50,12,6,12:08,20-02-18
10,Siri,sirid,sai.nadiminti,9969625644,Room no.1,001HALBUL000N,12,12,1,12:00,20-02-18
11,Siri,siriid,sai.nadiminti,9969625644,Room no.1,002HALTUB001E,23,13,2,12:01,20-02-18
12,Siri,sirid,sai.nadiminti,9969625644,Room no.1,001HALFAN002C,44,5,3,12:02,20-02-18
13,Siri,siriid,sai.nadiminti,9969625644,Room no.1,003KITFAN003C,76,7,4,12:03,20-02-18
14,Siri,sirid,sai.nadiminti,9969625644,Room no.1,004GPKTUB004C,12,8,7,12:04,20-02-18
15,Siri,siriid,sai.nadiminti,9969625644,Room no.1,002HALTUB005E,45,9,2,12:05,20-02-18
16,Siri,sirid,sai.nadiminti,9969625644,Room no.1,001HALFAN006C,87,45,3,12:06,20-02-18
17,Siri,siriid,sai.nadiminti,9969625644,Room no.1,004GPKFAN007C,35,35,9,12:07,20-02-18
18,Siri,sirid,sai.nadiminti,9969625644,Room no.1,002HALTUB008E,56,23,4,12:08,20-02-18
19,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,001HALBUL000N,20,32,2,12:00,20-02-18
20,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,002HALTUB001E,30,10,3,12:01,20-02-18
21,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,001HALFAN002C,40,22,4,12:02,20-02-18
22,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,003KITFAN003C,50,34,1,12:03,20-02-18
23,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,004GPKTUB004C,10,56,2,12:04,20-02-18
24,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,002HALTUB005E,20,34,3,12:05,20-02-18
25,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,001HALFAN006C,30,23,4,12:06,20-02-18
26,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,004GPKFAN007C,40,23,5,12:07,20-02-18
27,Ashish,ashishid,ashish.joshi,7854612456,Room no.100,002HALTUB008E,50,12,6,12:08,20-02-18
28,Guru,guruid,guru.singh,123564235,Room no.2,001HALBUL000N,12,12,1,12:00,20-02-18
29,Guru,guruid,guru.singh,123564235,Room no.2,002HALTUB001E,23,13,2,12:01,20-02-18
30,Guru,guruid,guru.singh,123564235,Room no.2,001HALFAN002C,44,5,3,12:02,20-02-18
31,Guru,guruid,guru.singh,123564235,Room no.2,003KITFAN003C,76,7,4,12:03,20-02-18
32,Guru,guruid,guru.singh,123564235,Room no.2,004GPKTUB004C,12,8,7,12:04,20-02-18
33,Guru,guruid,guru.singh,123564235,Room no.2,002HALTUB005E,45,9,2,12:05,20-02-18
